UKPRN,PROVIDER_NAME,REGIONAL_GROUP
10004113,LOUGHBOROUGH UNIVERSITY,NEUPC
10007833,GLYNDWR UNIVERSITY,NWUPC
10007771,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,M25
10003956,LIVERPOOL HOPE UNIVERSITY,NOWAL
10003956,LIVERPOOL HOPE UNIVERSITY,NWUPC
10007147,UNIVERSITY OF HERTFORDSHIRE,SUPC
10007157,UNIVERSITY OF SHEFFIELD,N8_Research_Partnership
10007157,UNIVERSITY OF SHEFFIELD,White_Rose_Consortium
10007157,UNIVERSITY OF SHEFFIELD,NEYAL
10007157,UNIVERSITY OF SHEFFIELD,NEUPC
10007143,UNIVERSITY OF DURHAM,N8_Research_Partnership
10007143,UNIVERSITY OF DURHAM,NEYAL
10007143,UNIVERSITY OF DURHAM,NEUPC
10004797,NOTTINGHAM TRENT UNIVERSITY,NEYAL
10004797,NOTTINGHAM TRENT UNIVERSITY,NEUPC
10007805,UNIVERSITY OF STRATHCLYDE,Universities_Scotland
10007137,THE UNIVERSITY OF CHICHESTER,GuildHE
10007764,HERIOT-WATT UNIVERSITY,Universities_Scotland
10007769,LONDON BUSINESS SCHOOL,
10006840,UNIVERSITY OF BIRMINGHAM,NCUK
10006840,UNIVERSITY OF BIRMINGHAM,M5_Universities
10006840,UNIVERSITY OF BIRMINGHAM,Midlands_Innovation
10006840,UNIVERSITY OF BIRMINGHAM,NEUPC
10007842,THE UNIVERSITY OF CUMBRIA,NOWAL
10007842,THE UNIVERSITY OF CUMBRIA,NWUPC
10007792,UNIVERSITY OF EXETER,GW4
10007792,UNIVERSITY OF EXETER,SUPC
10005790,SHEFFIELD HALLAM UNIVERSITY,NEYAL
10005790,SHEFFIELD HALLAM UNIVERSITY,NEUPC
10007852,UNIVERSITY OF DUNDEE,Universities_Scotland
10005700,SRUC,
10007776,ROEHAMPTON UNIVERSITY,M25
10007159,UNIVERSITY OF SUNDERLAND,NEYAL
10007159,UNIVERSITY OF SUNDERLAND,NEUPC
10000291,ANGLIA RUSKIN UNIVERSITY,M25
10000291,ANGLIA RUSKIN UNIVERSITY,SUPC
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",
10007855,SWANSEA UNIVERSITY,HEPCW
10005553,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,M25
10007777,ROYAL COLLEGE OF ART(THE),M25
10007822,CRANFIELD UNIVERSITY,M25
10007822,CRANFIELD UNIVERSITY,SUPC
10007767,UNIVERSITY OF KEELE,NWUPC
10003863,LEEDS TRINITY UNIVERSITY,NEYAL
10003863,LEEDS TRINITY UNIVERSITY,NEUPC
10003863,LEEDS TRINITY UNIVERSITY,GuildHE
10003645,KING'S COLLEGE LONDON,Science_and_Engineering_South
10003645,KING'S COLLEGE LONDON,M25
10003645,KING'S COLLEGE LONDON,SUPC
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON",M25
10004775,NORWICH UNIVERSITY OF THE ARTS,GuildHE
10003854,LEEDS COLLEGE OF ART,NEUPC
10003854,LEEDS COLLEGE OF ART,GuildHE
10007759,ASTON UNIVERSITY,NCUK
10007759,ASTON UNIVERSITY,M5_Universities
10007759,ASTON UNIVERSITY,Midlands_Innovation
10007759,ASTON UNIVERSITY,SUPC
10007848,UNIVERSITY OF CHESTER,NOWAL
10007848,UNIVERSITY OF CHESTER,NWUPC
10007783,UNIVERSITY OF ABERDEEN,Universities_Scotland
10007798,THE UNIVERSITY OF MANCHESTER,N8_Research_Partnership
10007798,THE UNIVERSITY OF MANCHESTER,NOWAL
10007798,THE UNIVERSITY OF MANCHESTER,NWUPC
10005561,ROYAL CONSERVATOIRE OF SCOTLAND,Universities_Scotland
10007154,"UNIVERSITY OF NOTTINGHAM, THE",M5_Universities
10007154,"UNIVERSITY OF NOTTINGHAM, THE",NEYAL
10007154,"UNIVERSITY OF NOTTINGHAM, THE",Midlands_Innovation
10007154,"UNIVERSITY OF NOTTINGHAM, THE",SUPC
10008010,STRANMILLIS UNIVERSITY COLLEGE,
10007799,NEWCASTLE UNIVERSITY,N8_Research_Partnership
10007799,NEWCASTLE UNIVERSITY,NEYAL
10007799,NEWCASTLE UNIVERSITY,NEUPC
10007857,BANGOR UNIVERSITY,ABSA
10007857,BANGOR UNIVERSITY,NWUPC
10037449,UNIVERSITY OF ST MARK & ST JOHN,GuildHE
10007787,THE UNIVERSITY OF BUCKINGHAM,
10007149,UNIVERSITY OF HULL,NEYAL
10007149,UNIVERSITY OF HULL,NEUPC
10007793,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,HEPCW
10007835,ROYAL ACADEMY OF MUSIC,
10004048,LONDON METROPOLITAN UNIVERSITY,M25
10007843,"ST MARY'S UNIVERSITY, TWICKENHAM",M25
10007843,"ST MARY'S UNIVERSITY, TWICKENHAM",GuildHE
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,M25
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,SUPC
10001653,THE CONSERVATOIRE FOR DANCE AND DRAMA,
10007760,BIRKBECK COLLEGE,M25
10006842,UNIVERSITY OF LIVERPOOL,N8_Research_Partnership
10006842,UNIVERSITY OF LIVERPOOL,NOWAL
10006842,UNIVERSITY OF LIVERPOOL,NWUPC
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),
10007146,UNIVERSITY OF GREENWICH,M25
10007713,YORK ST JOHN UNIVERSITY,NEYAL
10007713,YORK ST JOHN UNIVERSITY,NEUPC
10007713,YORK ST JOHN UNIVERSITY,GuildHE
10007858,UNIVERSITY OF WALES: TRINITY SAINT DAVID,HEPCW
10007846,SWANSEA METROPOLITAN UNIVERSITY,
10007825,GUILDHALL SCHOOL OF MUSIC & DRAMA,
10007785,UNIVERSITY OF BRADFORD,NEYAL
10007785,UNIVERSITY OF BRADFORD,NEUPC
10004078,LONDON SOUTH BANK UNIVERSITY,M25
10014001,UNIVERSITY CAMPUS SUFFOLK LTD,
10007800,UNIVERSITY OF THE WEST OF SCOTLAND,Universities_Scotland
10003957,LIVERPOOL JOHN MOORES UNIVERSITY,NOWAL
10003957,LIVERPOOL JOHN MOORES UNIVERSITY,NWUPC
10007850,UNIVERSITY OF BATH (THE),GW4
10007850,UNIVERSITY OF BATH (THE),SUPC
10000385,"ARTS UNIVERSITY BOURNEMOUTH, THE",GuildHE
10006566,UNIVERSITY OF WEST LONDON,M25
10006566,UNIVERSITY OF WEST LONDON,SUPC
10004930,OXFORD BROOKES UNIVERSITY,M25
10004930,OXFORD BROOKES UNIVERSITY,SUPC
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,M25
10007837,ROYAL NORTHERN COLLEGE OF MUSIC,NOWAL
10007837,ROYAL NORTHERN COLLEGE OF MUSIC,NWUPC
10007141,UNIVERSITY OF CENTRAL LANCASHIRE,NOWAL
10007141,UNIVERSITY OF CENTRAL LANCASHIRE,NWUPC
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Science_and_Engineering_South
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",SUPC
10008574,UNIVERSITY OF WALES PRIFYSGOL CYMRU,
10007139,"UNIVERSITY OF WORCESTER, THE",NWUPC
10007139,"UNIVERSITY OF WORCESTER, THE",GuildHE
